edf,seizure_present,predicted_present,tp,fp,fn,tn,samples,seizure_samples,precision,recall,specificity,f1
chb08_24.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_29.edf,0,0,0,0,0,1,1807,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_01.edf,0,0,0,0,0,1,1794,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_02.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_03.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_04.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_05.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_06.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_07.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_08.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_09.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_10.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_11.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_12.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_13.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_14.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_15.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_16.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_17.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_18.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_19.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_24.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_25.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_26.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_27.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_53.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_54.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_55.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_56.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_58.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_60.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_61.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_62.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_63.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_82.edf,1,1,1,0,0,0,1795,14,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_92.edf,1,1,1,0,0,0,1795,18,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb11_99.edf,1,1,1,0,0,0,1425,379,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_01.edf,0,0,0,0,0,1,1796,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_02.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_03.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_04.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_05.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_06.edf,1,0,0,0,1,0,1795,65,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_07.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_08.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_09.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_10.edf,1,0,0,0,1,0,1795,18,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_11.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_12.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_13.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_14.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_15.edf,1,0,0,0,1,0,1795,81,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_16.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_17.edf,1,0,0,0,1,0,1795,20,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_19.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_20.edf,1,0,0,0,1,0,1795,30,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_22.edf,1,0,0,0,1,0,1795,105,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_26.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_28.edf,1,0,0,0,1,0,1795,98,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_29.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_30.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_31.edf,1,0,0,0,1,0,1795,62,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_32.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_33.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_35.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_37.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_40.edf,1,1,1,0,0,0,1795,129,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_45.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_46.edf,1,1,1,0,0,0,1795,56,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_49.edf,1,0,0,0,1,0,1808,73,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_50.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_51.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_52.edf,1,0,0,0,1,0,1800,38,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_54.edf,1,0,0,0,1,0,1795,216,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_61.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_62.edf,1,0,0,0,1,0,1795,56,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb15_63.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_01.edf,0,1,0,1,0,0,1798,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_02.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_03.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_04.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_05.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_06.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_07.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_08.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_11.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_12.edf,1,0,0,0,1,0,1795,17,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_13.edf,1,0,0,0,1,0,1795,40,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_14.edf,1,1,1,0,0,0,1795,21,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_15.edf,1,0,0,0,1,0,1795,47,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_16.edf,1,1,1,0,0,0,1730,20,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_17.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_21.edf,0,1,0,1,0,0,1804,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_22.edf,0,1,0,1,0,0,366,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_23.edf,0,1,0,1,0,0,1477,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_25.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_26.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_27.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_28.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_29.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_30.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_31.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_34.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_59.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_60.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb20_68.edf,1,1,1,0,0,0,1079,22,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
